Talk #,Title,Workshop/Conference venue,Location,Day,Month,Year,Para1,Para2
13,Higgs Mass in the MSSM and Beyond,ILC Summer Workshop,Sekikane | Japan,19,July,2014,,
12,Dirac NMSSM,Santa Fe 2014 Summer Workshop 'LHC After the Higgs',Santa Fe | USA,3,July,2014,,
11,A Natural Higgs Mass in Supersymmetry from Non-Decoupling Effects,KEK-PH 2013,KEK | Tsukuba | Japan,15,October,2013,,
10,A Natural Higgs Mass in Supersymmetry from Non-Decoupling Effects,Corfu Summer Institute 2013,Corfu | Greece,4,September,2013,,
9,Compact Supersymmetry++,Supersymmetry 2013,International Centre for Theoretical Physics | Trieste | Italy,27,August,2013,,
8,Scenario of Compressed BSM,LHC vs Beyond the Standard Model,Kyoto University | Kyoto | Japan,19,March,2013,,
7,Compact Supersymmetry and 125 GeV Higgs,Supersymmetry 2012,Peking University | Beijing | China,15,August,2012,,
6,Compact Supersymmetry,Progress of Particle Physics 2012,Kyoto University | Kyoto | Japan,20,July,2012,,
5,Search for the Degenerate Supersymmetry at the LHC,The 67th annual meeting of JPS,Kanseigakuin University | Nishinomiya | Japan,20,March,2012,,
4,Improved discovery of nearly degenerate model: MUED using MT2 at the LHC,The autumn meeting of JPS,Hirosaki University | Hirosaki | Japan,19,September,2011,,
3,Improved discovery of nearly degenerate model: MUED using MT2 at the LHC,2011 IPMU-YITP Workshop on Monte Carlo Tools for LHC,Kyoto University | Kyoto | Japan,5,September,2011,,
2,Discovery of minimal UED at the LHC,The 66th annual meeting of JPS,Niigata University | Niigata | Japan,28,March,2011,,
1,Discovery of minimal UED at the LHC,Extra Dimension 2011,Osaka University | Osaka | Japan,25,January,2011,www-het.phys.sci.osaka-u.ac.jp/~hosotani/ws2011/program-final.html,
